LocationName,Year,Month,Day,Item
Hosaritti,1995,4,8,0
Hosaritti,1995,4,9,0
Hosaritti,1995,4,10,0
Hosaritti,1995,4,11,0
Hosaritti,1995,4,12,0
Hosaritti,1995,4,13,0
Hosaritti,1995,4,14,0
Hosaritti,1995,4,15,0
Hosaritti,1995,4,16,0
Hosaritti,1995,4,17,0
Hosaritti,1995,4,18,0
Hosaritti,1995,4,19,0
Hosaritti,1995,4,20,0
Hosaritti,1995,4,21,0
Hosaritti,1995,4,22,0
Hosaritti,1995,4,23,0
Hosaritti,1995,4,24,0
Hosaritti,1995,4,25,0
Hosaritti,1995,4,26,0
Hosaritti,1995,4,27,0
Hosaritti,1995,4,28,0
Hosaritti,1995,4,29,0
Hosaritti,1995,4,30,0
Hosaritti,1995,5,1,0
Hosaritti,1995,5,2,0
Hosaritti,1995,5,3,0
Hosaritti,1995,5,4,0
Hosaritti,1995,5,5,0
Hosaritti,1995,5,6,0
Hosaritti,1995,5,7,0
Hosaritti,1995,5,8,0
Hosaritti,1995,5,9,0
Hosaritti,1995,5,10,0
Hosaritti,1995,5,11,0
Hosaritti,1995,5,12,0
Hosaritti,1995,5,13,0
Hosaritti,1995,5,14,0
Hosaritti,1995,5,15,0
Hosaritti,1995,5,16,0
Hosaritti,1995,5,17,0
Hosaritti,1995,5,18,0
Hosaritti,1995,5,19,0
Hosaritti,1995,5,20,0
Hosaritti,1995,5,21,0
Hosaritti,1995,5,22,0
Hosaritti,1995,5,23,0
Hosaritti,1995,5,24,0
Hosaritti,1995,5,25,0
Hosaritti,1995,5,26,0
Hosaritti,1995,5,27,0
Hosaritti,1995,5,28,0
Hosaritti,1995,5,29,0
Hosaritti,1995,5,30,0
Hosaritti,1995,5,31,0
Hosaritti,1995,6,1,0
Hosaritti,1995,6,2,0
Hosaritti,1995,6,3,0
Hosaritti,1995,6,4,0
Hosaritti,1995,6,5,0
Hosaritti,1995,6,6,0
Hosaritti,1995,6,7,0
Hosaritti,1995,6,8,0
Hosaritti,1995,6,9,0
Hosaritti,1995,6,10,0
Hosaritti,1995,6,11,0
Hosaritti,1995,6,12,0
Hosaritti,1995,6,13,0
Hosaritti,1995,6,14,0
Hosaritti,1995,6,15,0
Hosaritti,1995,6,16,0
Hosaritti,1995,6,17,0
Hosaritti,1995,6,18,0
Hosaritti,1995,6,19,0
Hosaritti,1995,6,20,0
Hosaritti,1995,6,21,0
Hosaritti,1995,6,22,0
Hosaritti,1995,6,23,0
Hosaritti,1995,6,24,0
Hosaritti,1995,6,25,0
Hosaritti,1995,6,26,0
Hosaritti,1995,6,27,0
Hosaritti,1995,6,28,0
Hosaritti,1995,6,29,0
Hosaritti,1995,6,30,0
Hosaritti,1995,7,1,0
Hosaritti,1995,7,2,0
Hosaritti,1995,7,3,0
Hosaritti,1995,7,4,0
Hosaritti,1995,7,5,43.92
Hosaritti,1995,7,6,25.9
Hosaritti,1995,7,7,18.9
Hosaritti,1995,7,8,13.65
Hosaritti,1995,7,9,12.17
Hosaritti,1995,7,10,12.94
Hosaritti,1995,7,11,12.61
Hosaritti,1995,7,12,20.24
Hosaritti,1995,7,13,119.84
Hosaritti,1995,7,14,211.01
Hosaritti,1995,7,15,225.17
Hosaritti,1995,7,16,187.56
Hosaritti,1995,7,17,177.54
Hosaritti,1995,7,18,203.16
Hosaritti,1995,7,19,278.87
Hosaritti,1995,7,20,327.99
Hosaritti,1995,7,21,432.27
Hosaritti,1995,7,22,514.41
Hosaritti,1995,7,23,483.84
Hosaritti,1995,7,24,418.24
Hosaritti,1995,7,25,374.75
Hosaritti,1995,7,26,320.48
Hosaritti,1995,7,27,303.08
Hosaritti,1995,7,28,275.01
Hosaritti,1995,7,29,239.7
Hosaritti,1995,7,30,215.29
Hosaritti,1995,7,31,179.23
Hosaritti,1995,8,1,153.43
Hosaritti,1995,8,2,157.88
Hosaritti,1995,8,3,193.12
Hosaritti,1995,8,4,293.42
Hosaritti,1995,8,5,343.58
Hosaritti,1995,8,6,287.81
Hosaritti,1995,8,7,281.06
Hosaritti,1995,8,8,275.76
Hosaritti,1995,8,9,226.87
Hosaritti,1995,8,10,207.65
Hosaritti,1995,8,11,178.71
Hosaritti,1995,8,12,135.09
Hosaritti,1995,8,13,113.69
Hosaritti,1995,8,14,92.15
Hosaritti,1995,8,15,85.43
Hosaritti,1995,8,16,76.31
Hosaritti,1995,8,17,69.69
Hosaritti,1995,8,18,63.69
Hosaritti,1995,8,19,56.91
Hosaritti,1995,8,20,51.57
Hosaritti,1995,8,21,45.23
Hosaritti,1995,8,22,38.62
Hosaritti,1995,8,23,34.8
Hosaritti,1995,8,24,29.04
Hosaritti,1995,8,25,27.29
Hosaritti,1995,8,26,23.57
Hosaritti,1995,8,27,20.86
Hosaritti,1995,8,28,24.28
Hosaritti,1995,8,29,45.33
Hosaritti,1995,8,30,81.88
Hosaritti,1995,8,31,195.37
Hosaritti,1995,9,1,305.08
Hosaritti,1995,9,2,360.72
Hosaritti,1995,9,3,378.74
Hosaritti,1995,9,4,392.42
Hosaritti,1995,9,5,354.71
Hosaritti,1995,9,6,322.52
Hosaritti,1995,9,7,279.34
Hosaritti,1995,9,8,260.11
Hosaritti,1995,9,9,207.74
Hosaritti,1995,9,10,166.96
Hosaritti,1995,9,11,129.84
Hosaritti,1995,9,12,98.04
Hosaritti,1995,9,13,87.32
Hosaritti,1995,9,14,97.49
Hosaritti,1995,9,15,85.83
Hosaritti,1995,9,16,74.08
Hosaritti,1995,9,17,65.48
Hosaritti,1995,9,18,55.14
Hosaritti,1995,9,19,47.81
Hosaritti,1995,9,20,39.51
Hosaritti,1995,9,21,39.66
Hosaritti,1995,9,22,36.58
Hosaritti,1995,9,23,32.25
Hosaritti,1995,9,24,28.25
Hosaritti,1995,9,25,23.14
Hosaritti,1995,9,26,20.52
Hosaritti,1995,9,27,19.76
Hosaritti,1995,9,28,18.7
Hosaritti,1995,9,29,17.52
Hosaritti,1995,9,30,16.18
Hosaritti,1995,10,1,18.82
Hosaritti,1995,10,2,37.74
Hosaritti,1995,10,3,69.73
Hosaritti,1995,10,4,105.88
Hosaritti,1995,10,5,77.11
Hosaritti,1995,10,6,93.03
Hosaritti,1995,10,7,77.29
Hosaritti,1995,10,8,58.37
Hosaritti,1995,10,9,46.6
Hosaritti,1995,10,10,39.3
Hosaritti,1995,10,11,37.44
Hosaritti,1995,10,12,32.51
Hosaritti,1995,10,13,28.79
Hosaritti,1995,10,14,25.75
Hosaritti,1995,10,15,25.15
Hosaritti,1995,10,16,23.37
Hosaritti,1995,10,17,29.14
Hosaritti,1995,10,18,38.88
Hosaritti,1995,10,19,24.45
Hosaritti,1995,10,20,22.53
Hosaritti,1995,10,21,20.73
Hosaritti,1995,10,22,18.64
Hosaritti,1995,10,23,15.24
Hosaritti,1995,10,24,55.49
Hosaritti,1995,10,25,110.49
Hosaritti,1995,10,26,75.03
Hosaritti,1995,10,27,48.05
Hosaritti,1995,10,28,40.68
Hosaritti,1995,10,29,36.86
Hosaritti,1995,10,30,31.3
Hosaritti,1995,10,31,27.09
Hosaritti,1995,11,1,22.9
Hosaritti,1995,11,2,18.53
Hosaritti,1995,11,3,16.82
Hosaritti,1995,11,4,13.49
Hosaritti,1995,11,5,10.74
Hosaritti,1995,11,6,7.01
Hosaritti,1995,11,7,7.42
Hosaritti,1995,11,8,7.14
Hosaritti,1995,11,9,6.17
Hosaritti,1995,11,10,5.79
Hosaritti,1995,11,11,5.25
Hosaritti,1995,11,12,4.5
Hosaritti,1995,11,13,5.21
Hosaritti,1995,11,14,5.11
Hosaritti,1995,11,15,5.92
Hosaritti,1995,11,16,4.01
Hosaritti,1995,11,17,3.42
Hosaritti,1995,11,18,3.59
Hosaritti,1995,11,19,3.02
Hosaritti,1995,11,20,2.32
Hosaritti,1995,11,21,1.91
Hosaritti,1995,11,22,1.63
Hosaritti,1995,11,23,1.4
Hosaritti,1995,11,24,1.54
Hosaritti,1995,11,25,3.5
Hosaritti,1995,11,26,6.6
Hosaritti,1995,11,27,9.24
Hosaritti,1995,11,28,8.54
Hosaritti,1995,11,29,10.63
Hosaritti,1995,11,30,10.44
Hosaritti,1995,12,1,7.15
Hosaritti,1995,12,2,4.21
Hosaritti,1995,12,3,3.62
Hosaritti,1995,12,4,2.62
Hosaritti,1995,12,5,0.87
Hosaritti,1995,12,6,2.32
Hosaritti,1995,12,7,2.73
Hosaritti,1995,12,8,2.08
Hosaritti,1995,12,9,1.5
Hosaritti,1995,12,10,1.33
Hosaritti,1995,12,11,0.69
Hosaritti,1995,12,12,0.12
Hosaritti,1995,12,13,0
Hosaritti,1995,12,14,0
Hosaritti,1995,12,15,0
Hosaritti,1995,12,16,0
Hosaritti,1995,12,17,0
Hosaritti,1995,12,18,0
Hosaritti,1995,12,19,0
Hosaritti,1995,12,20,0
Hosaritti,1995,12,21,0
Hosaritti,1995,12,22,0
Hosaritti,1995,12,23,0
Hosaritti,1995,12,24,0
Hosaritti,1995,12,25,0
Hosaritti,1995,12,26,0
Hosaritti,1995,12,27,0
Hosaritti,1995,12,28,0
Hosaritti,1995,12,29,0
Hosaritti,1995,12,30,0
Hosaritti,1995,12,31,0
Hosaritti,1996,1,1,0
Hosaritti,1996,1,2,0
Hosaritti,1996,1,3,0
Hosaritti,1996,1,4,0
Hosaritti,1996,1,5,0
Hosaritti,1996,1,6,0
Hosaritti,1996,1,7,0
Hosaritti,1996,1,8,0
Hosaritti,1996,1,9,0
Hosaritti,1996,1,10,0
Hosaritti,1996,1,11,0
Hosaritti,1996,1,12,0
Hosaritti,1996,1,13,0
Hosaritti,1996,1,14,0
Hosaritti,1996,1,15,0
Hosaritti,1996,1,16,0
Hosaritti,1996,1,17,0
Hosaritti,1996,1,18,0
Hosaritti,1996,1,19,0
Hosaritti,1996,1,20,0
Hosaritti,1996,1,21,0
Hosaritti,1996,1,22,0
Hosaritti,1996,1,23,0
Hosaritti,1996,1,24,0
Hosaritti,1996,1,25,0
Hosaritti,1996,1,26,0
Hosaritti,1996,1,27,0
Hosaritti,1996,1,28,0
Hosaritti,1996,1,29,0
Hosaritti,1996,1,30,0
Hosaritti,1996,1,31,0
Hosaritti,1996,2,1,0
Hosaritti,1996,2,2,0
Hosaritti,1996,2,3,0
Hosaritti,1996,2,4,0
Hosaritti,1996,2,5,0
Hosaritti,1996,2,6,0
Hosaritti,1996,2,7,0
Hosaritti,1996,2,8,0
Hosaritti,1996,2,9,0
Hosaritti,1996,2,10,0
Hosaritti,1996,2,11,0
Hosaritti,1996,2,12,0
Hosaritti,1996,2,13,0
Hosaritti,1996,2,14,0
Hosaritti,1996,2,15,0
Hosaritti,1996,2,16,0
Hosaritti,1996,2,17,0
Hosaritti,1996,2,18,0
Hosaritti,1996,2,19,0
Hosaritti,1996,2,20,0
Hosaritti,1996,2,21,0
Hosaritti,1996,2,22,0
Hosaritti,1996,2,23,0
Hosaritti,1996,2,24,0
Hosaritti,1996,2,25,0
Hosaritti,1996,2,26,0
Hosaritti,1996,2,27,0
Hosaritti,1996,2,28,0
Hosaritti,1996,2,29,0
Hosaritti,1996,3,1,0
Hosaritti,1996,3,2,0
Hosaritti,1996,3,3,0
Hosaritti,1996,3,4,0
Hosaritti,1996,3,5,0
Hosaritti,1996,3,6,0
